Sanskit Text	Sanskrit Transliteration	Translation
सुविव्र्तं सुनिरजमिन्द्र तवादातमिद यशः |	suvivṛtaṃ sunirajamindra tvādātamid yaśaḥ |	7 Easy to turn and drive away, Indra, is spoil bestowed by thee.
गवामपव्रजं वर्धि कर्णुष्व राधो अद्रिवः ||	ghavāmapavrajaṃ vṛdhi kṛṇuṣva rādho adrivaḥ ||	Unclose the stable of the kine, and give us wealth O Thunder-armed
नहि तवा रोदसी उभे रघायमाणमिन्वतः |	nahi tvā rodasī ubhe ṛghāyamāṇaminvataḥ |	8 The heaven and earth contain thee not, together, in thy wrathful mood.
जेषः सवर्वतीरपः सं गा अस्मभ्यं धूनुहि ||	jeṣaḥ svarvatīrapaḥ saṃ ghā asmabhyaṃ dhūnuhi ||	Win us the waters of the sky, and send us kine abundantly.
आश्रुत्कर्ण शरुधी हवं नू चिद दधिष्व मे गिरः |	āśrutkarṇa śrudhī havaṃ nū cid dadhiṣva me ghiraḥ |	9 Hear, thou whose ear is quick, my call; take to thee readily my songs
इन्द्र सतोममिमं मम कर्ष्वा युजश्चिदन्तरम ||	indra stomamimaṃ mama kṛṣvā yujaścidantaram ||	O Indra, let this laud of mine come nearer even than thy friend.
विद्मा हि तवा वर्षन्तमं वाजेषु हवनश्रुतम |	vidmā hi tvā vṛṣantamaṃ vājeṣu havanaśrutam |	10 We know thee mightiest of all, in battles hearer of our cry.
वर्षन्तमस्य हूमह ऊतिं सहस्रसातमाम ||	vṛṣantamasya hūmaha ūtiṃ sahasrasātamām ||	Of thee most mighty we invoke the aid that giveth thousandfold.
आ तू न इन्द्र कौशिक मन्दसानः सुतं पिब |	ā tū na indra kauśika mandasānaḥ sutaṃ piba |	11 O Indra, Son of Kuśika, drink our libation with delight.
नव्यमायुःप्र सू तिर कर्धी सहस्रसां रषिम ||	navyamāyuḥpra sū tira kṛdhī sahasrasāṃ ṛṣim ||	Prolong our life anew, and cause the seer to win a thousand gifts.
परि तवा गिर्वणो गिर इमा भवन्तु विश्वतः |	pari tvā ghirvaṇo ghira imā bhavantu viśvataḥ |	12 Lover of song, may these our songs on every side encompass thee:
वर्द्धायुमनु वर्द्धयो जुष्टा भवन्तु जुष्टयः ||	vṛddhāyumanu vṛddhayo juṣṭā bhavantu juṣṭayaḥ ||	Strengthening thee of lengthened life, may they be dear delights to thee.

इन्द्रं विश्वा अवीव्र्धन समुद्रव्यचसं गिरः |	indraṃ viśvā avīvṛdhan samudravyacasaṃ ghiraḥ |	1 ALL sacred songs have magnified Indra expansive as the sea,
रथीतमंरथीनां वाजानां सत्पतिं पतिम ||	rathītamaṃrathīnāṃ vājānāṃ satpatiṃ patim ||	The best of warriors borne on cars, the Lord, the very Lord of strength.
सख्ये त इन्द्र वाजिनो मा भेम शवसस पते |	sakhye ta indra vājino mā bhema śavasas pate |	2 Strong in thy friendship, Indra, Lord of power and might, we have no fear.
तवामभि परणोनुमो जेतारमपराजितम ||	tvāmabhi praṇonumo jetāramaparājitam ||	We glorify with praises thee, the never-conquered conqueror.
पूर्वीरिन्द्रस्य रातयो न वि दस्यन्त्यूतयः |	pūrvīrindrasya rātayo na vi dasyantyūtayaḥ |	3 The gifts of Indra from of old, his saving succours, never fail,
यदी वाजस्य गोमत सतोत्र्भ्यो मंहते मघम ||	yadī vājasya ghomata stotṛbhyo maṃhate magham ||	When to the praise-singers he gives the boon of substance rich in kine.
पुरां भिन्दुर्युवा कविरमितौजा अजायत |	purāṃ bhinduryuvā kaviramitaujā ajāyata |	4 Crusher of forts, the young, the wise, of strength unmeasured, was he born
इन्द्रो विश्वस्यकर्मणो धर्ता वज्री पुरुष्टुतः ||	indro viśvasyakarmaṇo dhartā vajrī puruṣṭutaḥ ||	Sustainer of each sacred rite, Indra, the Thunderer, much-extolled.
तवं वलस्य गोमतो.अपावरद्रिवो बिलम |	tvaṃ valasya ghomato.apāvaradrivo bilam |	5 Lord of the thunder, thou didst burst the cave of Vala rich in cows.
तवां देवा अबिभ्युषस्तुज्यमानास आविषुः ||	tvāṃ devā abibhyuṣastujyamānāsa āviṣuḥ ||	The Gods came pressing to thy side, and free from terror aided thee,
तवाहं शूर रातिभिः परत्यायं सिन्धुमावदन |	tavāhaṃ śūra rātibhiḥ pratyāyaṃ sindhumāvadan |	6 I, Hero, through thy bounties am come to the flood addressing thee.
उपातिष्ठन्त गिर्वणो विदुष टे तस्य कारवः ||	upātiṣṭhanta ghirvaṇo viduṣ ṭe tasya kāravaḥ ||	Song-lover, here the singers stand and testify to thee thereof.
मायाभिरिन्द्र मायिनं तवं शुष्णमवातिरः |	māyābhirindra māyinaṃ tvaṃ śuṣṇamavātiraḥ |	7 The wily Śuṣṇa, Indra! thou o’erthrewest with thy wondrous powers.
विदुष टे तस्य मेधिरास्तेषां शरवांस्युत तिर ||	viduṣ ṭe tasya medhirāsteṣāṃ śravāṃsyut tira ||	The wise beheld this deed of thine: now go beyond their eulogies.
इन्द्रमीशानमोजसाभि सतोमा अनूषत |	indramīśānamojasābhi stomā anūṣata |	8 Our songs of praise have glorified Indra who ruleth by his might,
सहस्रं यस्य रातय उत वा सन्ति भूयसीः ||	sahasraṃ yasya rātaya uta vā santi bhūyasīḥ ||	Whose precious gifts in thousands come, yea, even more abundantly.

अग्निं दूतं वर्णीमहे होतारं विश्ववेदसम |	aghniṃ dūtaṃ vṛṇīmahe hotāraṃ viśvavedasam |	1 WE choose Agni the messenger, the herald, master of all wealth,
अस्य यज्ञस्य सुक्रतुम ||	asya yajñasya sukratum ||	Well skilled in this our sacrifice.
अग्निम-अग्निं हवीमभिः सदा हवन्त विश्पतिम |	aghnim-aghniṃ havīmabhiḥ sadā havanta viśpatim |	2 With callings ever they invoke Agni, Agni, Lord of the House,
हव्यवाहं पुरुप्रियम ||	havyavāhaṃ purupriyam ||	Oblation-bearer, much beloved.
अग्ने देवानिहा वह जज्ञानो वर्क्तबर्हिषे |	aghne devānihā vaha jajñāno vṛktabarhiṣe |	3 Bring the Gods hither, Agni, born for him who strews the sacred grass:
असि होता न ईड्यः ||	asi hotā na īḍyaḥ ||	Thou art our herald, meet for praise.
तानुशतो वि बोधय यदग्ने यासि दूत्यम |	tānuśato vi bodhaya yadaghne yāsi dūtyam |	4 Wake up the willing Gods, since thou, Agni, performest embassage:
देवैरा सत्सि बर्हिषि ||	devairā satsi barhiṣi ||	Sit on the sacred grass with Gods.
घर्ताहवन दीदिवः परति षम रिषतो दह |	ghṛtāhavana dīdivaḥ prati ṣma riṣato daha |	5 O Agni, radiant One, to whom the holy oil is poured, burn up
अग्ने तवं रक्षस्विनः ||	aghne tvaṃ rakṣasvinaḥ ||	Our enemies whom fiends protect.
अग्निनाग्निः समिध्यते कविर्ग्र्हपतिर्युवा |	aghnināghniḥ samidhyate kavirghṛhapatiryuvā |	6 By Agni Agni is inflamed, Lord of the House, wise, young, who bears
हव्यवाड जुह्वास्यः ||	havyavāḍ juhvāsyaḥ ||	The gift: the ladle is his mouth.
कविमग्निमुप सतुहि सत्यधर्माणमध्वरे |	kavimaghnimupa stuhi satyadharmāṇamadhvare |	7 Praise Agni in the sacrifice, the Sage whose ways are ever true,
देवममीवचातनम ||	devamamīvacātanam ||	The God who driveth grief away.
यस्त्वामग्ने हविष्पतिर्दूतं देव सपर्यति |	yastvāmaghne haviṣpatirdūtaṃ deva saparyati |	8 God, Agni, be his strong defence who lord of sacrificial gifts,
तस्य सम पराविता भव ||	tasya sma prāvitā bhava ||	Worshippeth thee the messenger.
यो अग्निं देववीतये हविष्मानाविवासति |	yo aghniṃ devavītaye haviṣmānāvivāsati |	9 Whoso with sacred gift would fain call Agni to the feast of Gods,
तस्मै पावक मर्ळय ||	tasmai pāvaka mṛḷaya ||	O Purifier, favour him.
स नः पावक दीदिवो.अग्ने देवानिहा वह |	sa naḥ pāvaka dīdivo.aghne devānihā vaha |	10 Such, Agni, Purifier, bright, bring hither to our sacrifice,
उप यज्ञं हविश्च नः ||	upa yajñaṃ haviśca naḥ ||	To our oblation bring the Gods.
स न सतवान आ भर गायत्रेण नवीयसा |	sa na stavāna ā bhara ghāyatreṇa navīyasā |	11 So lauded by our newest song of praise bring opulence to us,
रयिं वीरवतीमिषम ||	rayiṃ vīravatīmiṣam ||	And food, with heroes for our sons.
अग्ने शुक्रेण शोचिषा विश्वाभिर्देवहूतिभिः |	aghne śukreṇa śociṣā viśvābhirdevahūtibhiḥ |	12 O Agni, by effulgent flame, by all invokings of the Gods,
इमं सतोमं जुषस्व नः ||	imaṃ stomaṃ juṣasva naḥ ||	Show pleasure in this laud of ours.

सुसमिद्धो न आ वह देवानग्ने हविष्मते |	susamiddho na ā vaha devānaghne haviṣmate |	1 AGNI, well-kindled, bring the Gods for him who offers holy gifts.
होतः पावक यक्षि च ||	hotaḥ pāvaka yakṣi ca ||	Worship them, Purifier, Priest.
मधुमन्तं तनूनपाद यज्ञं देवेषु नः कवे |	madhumantaṃ tanūnapād yajñaṃ deveṣu naḥ kave |	2 Son of Thyself, present, O Sage, our sacrifice to the Gods today.
अद्या कर्णुहि वीतये ||	adyā kṛṇuhi vītaye ||	Sweet to the taste, that they may feast.
